Lead_ID,Age,Budget,Location,Property_Type,Inquiry_Type,Time_Spent_on_Site,Number_of_Visits,Contacted,Converted
1,59,4603087,Pune,2BHK,Rent,12,1,0,0
2,49,14206970,Delhi,1BHK,Buy,9,9,0,0
3,35,6961826,Mumbai,3BHK,Rent,9,5,1,0
4,28,7199648,Bangalore,2BHK,Buy,11,9,0,1
5,41,8636708,Pune,3BHK,Rent,6,1,1,0
6,59,11672204,Delhi,3BHK,Buy,2,2,1,0
7,39,2049892,Delhi,3BHK,Rent,7,3,1,0
8,43,8473049,Bangalore,2BHK,Rent,9,5,0,0
9,31,7072237,Pune,3BHK,Buy,25,6,1,1
10,31,9030736,Mumbai,1BHK,Rent,19,5,0,1
11,44,10734143,Delhi,2BHK,Rent,18,1,0,0
12,56,8571520,Bangalore,2BHK,Rent,12,4,0,1
13,44,13790552,Delhi,3BHK,Buy,21,6,1,1
14,23,5118113,Delhi,3BHK,Rent,11,4,0,1
15,42,8060297,Pune,3BHK,Rent,10,4,1,0
16,22,11596543,Pune,2BHK,Rent,29,5,1,1
17,44,11171667,Mumbai,1BHK,Buy,23,8,0,1
18,50,4222854,Delhi,1BHK,Rent,3,5,0,0
19,58,14656439,Bangalore,2BHK,Buy,12,7,0,1
20,22,5292239,Delhi,1BHK,Rent,4,8,1,0
21,41,2915108,Bangalore,3BHK,Buy,10,6,1,0
22,53,6877323,Delhi,2BHK,Buy,2,6,0,0
23,32,4384272,Bangalore,1BHK,Buy,12,2,1,0
24,42,13354835,Delhi,2BHK,Rent,28,5,0,1
25,45,4820377,Delhi,1BHK,Buy,11,1,1,0
26,47,3418351,Mumbai,2BHK,Buy,14,9,1,0
27,48,6917970,Pune,1BHK,Buy,15,7,0,1
28,36,5726713,Pune,2BHK,Buy,14,2,0,0
29,35,10983278,Bangalore,2BHK,Buy,26,6,1,1
30,23,11191691,Delhi,2BHK,Buy,29,9,1,1
31,57,2180116,Delhi,2BHK,Buy,12,5,0,0
32,27,14597545,Pune,2BHK,Buy,29,3,1,0
33,41,14662076,Bangalore,3BHK,Buy,2,4,0,0
34,29,2787001,Mumbai,2BHK,Rent,23,3,0,0
35,59,7048245,Mumbai,2BHK,Buy,2,1,1,0
36,38,14706337,Mumbai,2BHK,Buy,1,7,0,0
37,24,10683790,Delhi,1BHK,Buy,20,8,0,1
38,45,11617344,Bangalore,2BHK,Buy,15,2,0,0
39,34,3252825,Pune,3BHK,Buy,22,8,0,0
40,29,4302690,Delhi,2BHK,Buy,10,9,0,0
41,46,2722153,Delhi,1BHK,Buy,26,7,0,0
42,22,14001338,Mumbai,1BHK,Rent,20,1,1,0
43,40,5446010,Bangalore,2BHK,Rent,1,4,0,0
44,48,8492922,Bangalore,2BHK,Rent,1,7,0,0
45,27,9315845,Mumbai,2BHK,Buy,25,6,0,1
46,28,4569395,Mumbai,2BHK,Buy,1,8,1,0
47,55,5332951,Mumbai,1BHK,Rent,23,6,0,1
48,34,13382932,Delhi,2BHK,Rent,11,6,1,1
49,37,2311416,Delhi,1BHK,Buy,28,6,0,0
50,56,2137980,Delhi,1BHK,Buy,28,7,0,0
51,24,4501212,Pune,3BHK,Rent,12,5,1,0
52,22,9129343,Pune,1BHK,Rent,15,9,0,1
53,26,7835615,Bangalore,2BHK,Rent,14,7,0,1
54,24,6924191,Mumbai,2BHK,Rent,23,1,1,0
55,49,14809213,Mumbai,2BHK,Buy,1,9,0,0
56,38,2824765,Delhi,2BHK,Rent,1,6,0,0
57,46,2907651,Pune,3BHK,Rent,6,8,0,0
58,54,11782357,Mumbai,3BHK,Buy,24,9,0,1
59,30,3350417,Bangalore,3BHK,Rent,23,2,1,0
60,56,8046946,Mumbai,3BHK,Rent,22,2,0,0
61,34,8702705,Delhi,1BHK,Rent,26,5,0,1
62,51,2990391,Delhi,3BHK,Buy,3,5,0,0
63,35,6249367,Pune,1BHK,Buy,14,2,1,0
64,28,8835084,Bangalore,2BHK,Rent,28,4,1,1
65,34,2587069,Bangalore,1BHK,Buy,27,9,0,0
66,43,5947061,Mumbai,1BHK,Buy,23,4,0,1
67,41,5156366,Bangalore,3BHK,Rent,6,1,1,0
68,36,8198980,Mumbai,2BHK,Buy,8,5,0,0
69,38,4315138,Mumbai,2BHK,Rent,20,2,0,0
70,44,7549348,Pune,3BHK,Buy,25,6,0,1
71,46,6415972,Bangalore,1BHK,Rent,15,1,0,0
72,45,8586242,Delhi,3BHK,Buy,17,7,1,1
73,49,2549666,Mumbai,1BHK,Buy,28,7,1,0
74,35,5983027,Mumbai,3BHK,Rent,29,4,1,1
75,21,9675862,Mumbai,3BHK,Rent,23,9,1,1
76,45,11555355,Bangalore,2BHK,Rent,9,3,0,0
77,27,10347131,Bangalore,2BHK,Rent,16,5,0,1
78,29,7605085,Bangalore,2BHK,Buy,26,5,1,1
79,44,14273425,Mumbai,3BHK,Buy,1,8,1,0
80,21,6782969,Delhi,2BHK,Rent,26,4,0,1
81,28,9076083,Delhi,2BHK,Buy,16,1,0,0
82,44,6773283,Bangalore,3BHK,Rent,19,5,0,1
83,31,13524000,Delhi,2BHK,Buy,23,1,0,0
84,37,4059417,Mumbai,1BHK,Rent,9,3,0,0
85,28,9797551,Bangalore,2BHK,Buy,17,6,1,1
86,55,9794087,Bangalore,1BHK,Rent,6,1,0,0
87,55,6188432,Mumbai,2BHK,Buy,27,3,0,0
88,53,4408359,Bangalore,3BHK,Buy,14,7,1,0
89,25,6810374,Mumbai,3BHK,Rent,18,2,0,0
90,59,3832760,Bangalore,2BHK,Buy,21,6,0,0
91,48,4442367,Delhi,1BHK,Buy,14,7,0,0
92,27,8847101,Bangalore,2BHK,Rent,23,2,1,0
93,29,4539065,Bangalore,3BHK,Rent,7,5,0,0
94,28,12545327,Bangalore,2BHK,Rent,10,1,0,0
95,32,4026091,Pune,3BHK,Rent,16,3,0,0
96,54,11578942,Delhi,1BHK,Buy,7,1,0,0
97,53,14489289,Mumbai,1BHK,Rent,28,3,1,0
98,43,5731622,Pune,3BHK,Rent,20,4,0,1
99,44,9785363,Delhi,1BHK,Rent,28,5,0,1
100,57,11104687,Bangalore,3BHK,Buy,6,4,0,0
101,55,5087686,Bangalore,3BHK,Buy,27,4,0,1
102,42,2954227,Mumbai,3BHK,Buy,26,9,1,0
103,47,13302069,Mumbai,2BHK,Buy,6,9,1,0
104,55,14832377,Delhi,1BHK,Rent,7,9,0,0
105,21,12710349,Delhi,2BHK,Buy,25,5,0,1
106,55,13024074,Mumbai,2BHK,Buy,22,5,1,1
107,57,6072476,Delhi,1BHK,Rent,28,2,1,0
108,34,14878537,Mumbai,2BHK,Rent,26,6,0,1
109,23,14409948,Bangalore,3BHK,Buy,17,2,1,0
110,21,6827976,Mumbai,2BHK,Rent,8,5,0,0
111,25,5398499,Pune,3BHK,Buy,2,5,1,0
112,46,2058031,Mumbai,1BHK,Buy,19,4,0,0
113,34,10259282,Mumbai,2BHK,Buy,28,5,1,1
114,59,12306743,Pune,1BHK,Rent,21,7,0,1
115,47,4451550,Pune,3BHK,Rent,22,2,0,0
116,29,4081552,Pune,2BHK,Buy,7,1,1,0
117,35,14925280,Pune,3BHK,Buy,12,4,1,1
